text,position,frequency,total,percentage
ca,10,4,361,0.01
pi,3,20,120,0.17
ne,5,51,412,0.12
lr,2,1,3,0.33
ea,4,42,373,0.11
dy,6,5,33,0.15
ls,2,4,104,0.04
lt,2,13,88,0.15
na,6,53,275,0.19
iv,9,15,184,0.08
ve,10,15,415,0.04
el,11,3,367,0.01
ly,12,7,217,0.03
es,11,22,933,0.02
th,3,57,256,0.22
ho,4,19,224,0.08
ou,5,27,275,0.1
ug,6,3,65,0.05
gh,7,13,105,0.12
lu,2,20,96,0.21
um,3,11,110,0.1
mi,4,58,251,0.23
iu,7,3,19,0.16
um,8,3,110,0.03
nu,6,10,57,0.18
um,7,6,110,0.05
mn,4,1,6,0.17
lw,2,1,3,0.33
ay,4,12,100,0.12
ys,5,8,49,0.16
am,1,29,211,0.14
ma,2,19,334,0.06
at,3,70,777,0.09
eu,5,1,27,0.04
ur,6,21,315,0.07
az,3,7,19,0.37
zi,4,4,15,0.27
ng,6,191,697,0.27
zo,4,2,13,0.15
mb,2,7,64,0.11
sa,6,9,139,0.06
ad,7,10,236,0.04
do,8,2,111,0.02
or,9,14,599,0.02
bi,3,18,128,0.14
md,2,1,2,0.5
me,2,14,429,0.03
dm,5,2,15,0.13
ni,4,46,270,0.17
ic,5,88,454,0.19
ca,6,37,361,0.1
as,7,10,305,0.03
mi,2,12,251,0.05
mo,2,9,194,0.05
gs,5,5,62,0.08
un,4,13,230,0.06
mp,2,44,185,0.24
pl,3,54,174,0.31
if,5,27,92,0.29
fi,6,21,191,0.11
ms,2,3,59,0.05
er,5,270,1109,0.24
rd,6,18,129,0.14
da,7,4,146,0.03
am,8,1,211,0.0
my,2,1,21,0.05
an,1,81,722,0.11
na,2,25,275,0.09
ah,3,7,21,0.33
he,4,40,291,0.14
ei,5,7,44,0.16
im,6,13,158,0.08
al,3,75,646,0.12
lo,4,46,285,0.16
og,5,19,90,0.21
ly,4,26,217,0.12
yt,5,2,10,0.2
ca,8,27,361,0.07
yz,5,2,2,1.0
ze,6,5,44,0.11
to,4,62,302,0.21
om,5,23,271,0.08
nc,2,44,254,0.17
ch,3,52,312,0.17
nd,2,66,356,0.19
da,3,15,146,0.1
al,4,57,646,0.09
le,5,103,569,0.18
do,3,9,111,0.08
rr,5,14,111,0.13
ea,5,23,373,0.06
as,6,25,305,0.08
ew,5,13,73,0.18
ws,6,6,31,0.19
dy,3,4,33,0.12
ng,2,23,697,0.03
el,4,80,367,0.22
es,6,120,933,0.13
ls,5,19,104,0.18
gl,3,5,33,0.15
ry,4,33,151,0.22
ni,2,34,270,0.13
im,3,20,158,0.13
ma,4,41,334,0.12
ls,6,12,104,0.12
at,5,66,777,0.08
me,4,48,429,0.11
nn,2,25,97,0.26
na,3,43,275,0.16
ex,4,6,168,0.04
ni,3,45,270,0.17
sa,8,2,139,0.01
ar,9,10,680,0.01
ry,10,6,151,0.04
no,3,31,132,0.23
ot,4,18,182,0.1
em,8,4,223,0.02
me,9,4,429,0.01
en,10,4,842,0.0
nt,11,4,657,0.01
ts,12,2,272,0.01
yi,5,5,24,0.21
nu,3,21,57,0.37
no,2,14,132,0.11
ny,4,9,44,0.2
ym,5,1,23,0.04
ou,7,13,275,0.05
us,8,14,214,0.07
th,4,56,256,0.22
he,5,43,291,0.15
ns,2,54,456,0.12
sw,3,4,29,0.14
we,4,15,104,0.14
ri,6,69,558,0.12
nt,2,100,657,0.15
ta,3,61,380,0.16
rc,5,5,84,0.06
ct,6,89,304,0.29
ic,8,21,454,0.05
ca,9,9,361,0.02
nn,5,6,97,0.06
ny,6,6,44,0.14
hr,4,5,43,0.12
ro,5,28,405,0.07
op,6,14,145,0.1
po,7,5,231,0.02
ol,8,4,281,0.01
lo,9,2,285,0.01
og,10,2,90,0.02
gy,11,2,23,0.09
ib,4,11,85,0.13
bo,5,13,126,0.1
od,6,4,113,0.04
di,7,7,357,0.02
dy,7,2,33,0.06
ip,6,10,108,0.09
pa,7,4,248,0.02
at,8,46,777,0.06
te,9,29,792,0.04
ig,4,33,160,0.21
gu,5,2,68,0.03
ua,6,5,101,0.05
iq,4,2,8,0.25
ir,6,4,165,0.02
ru,7,2,98,0.02
nx,2,1,1,1.0
xi,3,11,25,0.44
et,5,76,276,0.28
ny,2,8,44,0.18
yb,3,4,9,0.44
bo,4,15,126,0.12
od,5,24,113,0.21
ym,3,9,23,0.39
mo,4,23,194,0.12
yo,3,5,21,0.24
yt,3,4,10,0.4
hi,5,17,187,0.09
ti,4,145,988,0.15
im,5,12,158,0.08
yw,3,5,7,0.71
wa,4,8,129,0.06
ay,5,7,100,0.07
wh,4,1,30,0.03
re,7,35,992,0.04
ao,1,1,7,0.14
ol,2,144,281,0.51
ap,1,54,168,0.32
pa,2,19,248,0.08
ac,3,57,322,0.18
ch,4,58,312,0.19
tm,5,5,28,0.18
pi,2,17,120,0.14
pn,2,2,4,0.5
po,2,17,231,0.07
ll,4,24,300,0.08
lo,5,24,285,0.08
pp,2,51,96,0.53
pa,3,30,248,0.12
tu,7,9,164,0.05
tl,8,4,68,0.06
pe,3,70,305,0.23
nd,5,54,356,0.15
ix,7,1,22,0.05
ia,5,45,255,0.18
ie,5,46,284,0.16
po,3,36,231,0.16
oi,4,5,40,0.12
tm,7,3,28,0.11
pr,3,43,306,0.14
ra,4,71,589,0.12
sa,7,10,139,0.07
al,8,32,646,0.05
ec,5,63,322,0.2
ci,6,25,192,0.13
ia,7,41,255,0.16
ti,9,64,988,0.06
io,10,48,602,0.08
on,11,48,1066,0.05
ro,4,59,405,0.15
oa,5,4,61,0.07
ch,7,13,312,0.04
he,8,7,291,0.02
op,5,8,145,0.06
pr,6,10,306,0.03
ri,7,20,558,0.04
ia,8,17,255,0.07
ov,5,13,98,0.13
va,6,15,116,0.13
al,7,69,646,0.11
ox,5,3,20,0.15
xi,6,2,25,0.08
im,7,4,158,0.03
ma,8,2,334,0.01
ps,3,10,64,0.16
pr,2,10,306,0.03
pt,2,11,90,0.12
aq,1,3,10,0.3
qu,2,15,101,0.15
ua,3,14,101,0.14
iu,6,2,19,0.11
at,4,89,777,0.11
ar,1,67,680,0.1
ra,2,192,589,0.33
bi,4,21,128,0.16
rb,2,5,33,0.15
tr,5,23,353,0.07
bo,3,11,126,0.09
rc,2,14,84,0.17
ca,3,31,361,0.09
hi,4,26,187,0.14
ec,7,8,322,0.02
ct,8,17,304,0.06
tu,9,3,164,0.02
ur,10,2,315,0.01
ra,11,1,589,0.0
al,12,13,646,0.02
re,11,1,992,0.0
iv,5,22,184,0.12
ct,3,32,304,0.11
re,2,155,992,0.16
na,4,19,275,0.07
rg,2,22,75,0.29
gu,3,16,68,0.24
ue,4,19,87,0.22
me,5,37,429,0.09
ri,2,140,558,0.25
is,3,36,436,0.08
si,4,68,359,0.19
iz,3,6,50,0.12
rk,2,1,61,0.02
ka,3,1,26,0.04
rl,2,5,53,0.09
gt,6,6,15,0.4
to,7,22,302,0.07
rm,2,8,109,0.07
st,4,72,638,0.11
ro,6,11,405,0.03
my,3,1,21,0.05
rn,2,2,97,0.02
ld,5,9,81,0.11
ro,2,190,405,0.47
rr,2,16,111,0.14
ge,6,39,274,0.14
al,6,76,646,0.12
ls,7,9,104,0.09
rt,2,11,226,0.05
hu,4,5,53,0.09
ur,5,50,315,0.16
cl,5,8,125,0.06
le,6,52,569,0.09
if,4,17,92,0.18
fi,5,20,191,0.1
ci,7,8,192,0.04
tw,3,5,17,0.29
wo,4,6,60,0.1
rk,6,6,61,0.1
ru,2,33,98,0.34
ub,3,7,72,0.1
as,1,55,305,0.18
sb,2,3,12,0.25
to,6,28,302,0.09
os,7,4,173,0.02
sc,2,6,140,0.04
ii,4,1,10,0.1
sh,2,3,199,0.02
hl,3,4,16,0.25
ey,5,17,45,0.38
si,2,7,359,0.02
sk,2,4,35,0.11
ke,3,38,155,0.25
ki,3,11,94,0.12
ks,3,2,64,0.03
sn,2,3,13,0.23
sp,2,8,160,0.05
ss,2,46,257,0.18
sa,3,18,139,0.13
au,4,4,83,0.05
ul,5,20,141,0.14
lt,6,9,88,0.1
em,4,28,223,0.13
mb,5,13,64,0.2
bl,6,16,146,0.11
sm,6,5,36,0.14
et,4,34,276,0.12
si,3,70,359,0.19
gn,5,18,50,0.36
nm,6,5,13,0.38
su,3,29,207,0.14
mi,5,18,251,0.07
ns,10,37,456,0.08
st,2,20,638,0.03
hm,4,2,10,0.2
ma,5,38,334,0.11
ol,5,22,281,0.08
lo,6,10,285,0.04
og,7,4,90,0.04
gy,8,4,23,0.17
om,7,3,271,0.01
my,8,1,21,0.05
su,2,4,207,0.02
sy,2,4,35,0.11
yl,3,6,17,0.35
lu,4,27,96,0.28
um,5,14,110,0.13
at,1,42,777,0.05
ta,2,62,380,0.16
te,2,21,792,0.03
th,2,12,256,0.05
he,3,15,291,0.05
ti,2,12,988,0.01
tl,2,3,68,0.04
tm,2,4,28,0.14
ph,6,4,94,0.04
he,7,11,291,0.04
re,9,7,992,0.01
ri,9,10,558,0.02
ic,10,5,454,0.01
to,2,23,302,0.08
om,3,34,271,0.13
tt,2,28,121,0.23
ch,5,28,312,0.09
he,6,20,291,0.07
hm,6,3,10,0.3
ck,5,5,146,0.03
ke,6,4,155,0.03
ks,6,2,64,0.03
de,6,50,487,0.1
tu,5,9,164,0.05
ud,6,5,56,0.09
ey,7,3,45,0.07
ys,8,1,49,0.02
ac,5,30,322,0.09
ib,5,14,85,0.16
bu,6,5,97,0.05
ut,7,10,182,0.05
au,1,37,83,0.45
ub,2,56,72,0.78
uc,2,20,88,0.23
ck,3,70,146,0.48
kl,4,4,11,0.36
nd,7,24,356,0.07
io,5,50,602,0.08
ns,7,29,456,0.06
ud,2,22,56,0.39
ug,2,23,65,0.35
ur,2,104,315,0.33
us,2,56,214,0.26
an,9,21,722,0.03
ut,2,64,182,0.35
ty,8,15,133,0.11
iz,7,6,50,0.12
za,8,1,22,0.05
ze,8,5,44,0.11
al,10,20,646,0.03
ll,11,2,300,0.01
mo,5,9,194,0.05
ob,6,3,58,0.05
bi,7,5,128,0.04
il,8,6,266,0.02
ot,6,5,182,0.03
mn,5,4,6,0.67
av,1,13,79,0.16
va,2,13,116,0.11
ab,6,9,132,0.07
li,9,5,463,0.01
it,10,8,446,0.02
ty,11,7,133,0.05
bl,7,8,146,0.05
le,8,21,569,0.04
ta,4,71,380,0.19
ve,2,24,415,0.06
nu,4,3,57,0.05
ue,5,18,87,0.21
