text,position,frequency,total,percentage
bp,3,1,3,0.33
ay,8,2,100,0.02
ln,4,1,7,0.14
tm,4,1,28,0.04
wh,1,23,30,0.77
wi,1,61,105,0.58
ad,9,1,236,0.0
dt,3,1,9,0.11
fe,7,1,121,0.01
aw,7,1,35,0.03
wa,8,1,129,0.01
wm,1,2,3,0.67
wn,1,1,30,0.03
wo,1,45,60,0.75
kf,4,2,4,0.5
kp,4,1,2,0.5
ps,8,1,64,0.02
wp,1,1,3,0.33
wr,1,16,18,0.89
ws,1,1,31,0.03
wt,1,2,6,0.33
wu,1,1,1,1.0
wv,1,1,1,1.0
ww,1,2,3,0.67
ww,2,1,3,0.33
wx,1,1,1,1.0
wy,1,2,5,0.4
yo,2,1,21,0.05
xa,1,1,18,0.06
xb,1,1,1,1.0
xe,1,1,24,0.04
xh,1,1,6,0.17
ht,2,1,70,0.01
ml,4,1,6,0.17
xi,1,1,25,0.04
xl,1,1,1,1.0
xm,1,1,2,0.5
ml,2,1,6,0.17
xp,1,1,53,0.02
ya,1,9,18,0.5
ye,1,13,47,0.28
yi,1,2,24,0.08
yn,1,1,16,0.06
yo,1,11,21,0.52
lf,7,1,17,0.06
yr,1,2,11,0.18
yu,1,3,5,0.6
za,1,2,22,0.09
zd,1,1,2,0.5
ze,1,3,44,0.07
zi,1,3,15,0.2
bw,6,1,2,0.5
zo,1,7,13,0.54
ft,5,1,30,0.03
zs,1,1,1,1.0
zu,1,3,5,0.6
